"line_code","env_code","DTA","DTS","PH","EH","grain_moisture","yield_bu_ac"
"M0015/CG102","MNH1_14",72.4546674699458,73.8759612764775,197.739574225307,84.3754338139315,25.3796304219136,132.873229648615
"M0015/LH198","MNH1_14",74.8095459012077,77.5897665082962,211.118061117981,103.309057765138,29.0185362464913,79.1931664472019
"M0022/CG102","MNH1_14",72.9546674699458,73.8759612764775,203.239574225307,93.8754338139315,26.2296304219136,104.766560563615
"M0024/CG102","MNH1_14",71.9546674699458,73.3759612764775,201.239574225307,92.3754338139315,24.8296304219136,106.816354283615
"M0024/LH198","MNH1_14",75.8119633720918,78.1954463903549,204.427294103725,106.257156117092,27.3864467588626,70.6739420241194
"M0027/CG102","MNH1_14",68.9546674699458,70.8759612764775,185.239574225307,68.3754338139315,22.9796304219136,111.207460398615
"M0028/CG102","MNH1_14",71.6245591561062,73.5298031605003,198.303144197046,83.9639014674465,26.9441469148106,139.293905863684
"M0028/LH198","MNH1_14",76.8211586203986,79.3037244559059,196.761611292306,98.4271098687708,25.645184892646,100.065790076723
"M0030/CG102","MNH1_14",72.2847757837853,73.2221193924546,178.176004253567,77.2869661604164,25.2151139290166,114.416228733546
"M0030/LH198","MNH1_14",75.8211586203986,76.8037244559059,181.761611292306,95.4271098687708,26.645184892646,106.651968021723
"M0033/CG102","MNH1_14",73.2847757837853,74.2221193924546,177.176004253567,70.2869661604164,22.0151139290166,78.8016692035464
"M0035/CG102","MNH1_14",69.4546674699458,70.8759612764775,174.739574225307,71.8754338139315,26.7796304219136,130.730837798615
"M0038/CG102","MNH1_14",71.4546674699458,72.3759612764775,183.739574225307,77.3754338139315,28.1796304219136,153.189820448615
"M0039/CG102","MNH1_14",70.2847757837853,70.2221193924546,214.176004253567,86.2869661604164,26.4151139290166,124.349703033546
"M0039/LH198","MNH1_14",75.8327713395895,80.0176824035156,190.405161466631,99.5451619724038,27.1718335388007,61.2036715662445
"M0041/CG102","MNH1_14",69.2847757837853,71.2221193924546,202.176004253567,86.2869661604164,28.0151139290166,150.150458733546
